#chromosme	start	end	score	id	strand	anno_id	anno_source	distance
chrX	279458	279459	4.946174323558807	chrX:+:1	+	chrX:288787:+:PLCXD1	Gencode	-9328
chrX	279795	279796	2.0680865049362183	chrX:+:2	+	chrX:288787:+:PLCXD1	Gencode	-8991
chrX	282225	282226	7.600265622138977	chrX:+:3	+	chrX:288787:+:PLCXD1	Gencode	-6561
chrX	295007	295008	2.783269941806793	chrX:+:4	+	chrX:291639:+:PLCXD1	Gencode	3369
chrX	299483	299484	15.622805953025818	chrX:+:5	+	chrX:303353:+:PLCXD1	Gencode	-3869
chrX	299760	299761	0.5241017937660217	chrX:+:6	+	chrX:303353:+:PLCXD1	Gencode	-3592
chrX	299775	299776	5.615554571151733	chrX:+:7	+	chrX:303353:+:PLCXD1	Gencode	-3577
chrX	299903	299904	18.302501440048218	chrX:+:8	+	chrX:303353:+:PLCXD1	Gencode	-3449
chrX	300443	300444	1.0373296737670898	chrX:+:9	+	chrX:303353:+:PLCXD1	Gencode	-2909
chrX	300450	300451	0.5372213423252106	chrX:+:10	+	chrX:303353:+:PLCXD1	Gencode	-2902
chrX	300471	300472	1.0702486336231232	chrX:+:11	+	chrX:303353:+:PLCXD1	Gencode	-2881
chrX	300679	300680	6.443738043308258	chrX:+:12	+	chrX:303353:+:PLCXD1	Gencode	-2673
chrX	300705	300706	2.848304033279419	chrX:+:13	+	chrX:303353:+:PLCXD1	Gencode	-2647
chrX	300718	300719	0.5345207452774048	chrX:+:14	+	chrX:303353:+:PLCXD1	Gencode	-2634
chrX	302252	302253	0.5092960000038147	chrX:+:15	+	chrX:303353:+:PLCXD1	Gencode	-1100
chrX	303355	303356	34.55842697620392	chrX:+:16	+	chrX:303356:+:PLCXD1	Gencode	0
chrX	325125	325126	1.0199313759803772	chrX:+:17	+	chrX:321851:+:LINC00685	Gencode	3275
chrX	409523	409524	9.216423094272614	chrX:+:18	+	chrX:405579:+:RP13-465B17.4	Gencode	3945
chrX	1400517	1400518	5.376715421676636	chrX:+:19	+	chrX:1399402:+:LINC00106	Gencode	1116
chrX	1411790	1411791	0.525142252445221	chrX:+:20	+	chrX:1413131:+:ASMTL-AS1	Gencode	-1340
chrX	1413583	1413584	16.28404152393341	chrX:+:21	+	chrX:1413915:+:ASMTL-AS1	Gencode	-331
chrX	1413698	1413699	0.5028191804885864	chrX:+:22	+	chrX:1413915:+:ASMTL-AS1	Gencode	-216
chrX	1595402	1595403	2.685828775167465	chrX:+:23	+	chrX:1600303:+:AKAP17A	Gencode	-4900
chrX	1595409	1595410	0.5282714366912842	chrX:+:24	+	chrX:1600303:+:AKAP17A	Gencode	-4893
chrX	1602303	1602304	3.995939552783966	chrX:+:25	+	chrX:1602502:+:AKAP17A	Gencode	-198
chrX	1602523	1602524	44.11139154434204	chrX:+:26	+	chrX:1602520:+:AKAP17A	Gencode	4
chrX	2664251	2664252	13.573589026927948	chrX:+:27	+	chrX:2657229:+:CD99P1	Gencode	7023
chrX	2666049	2666050	1.608165442943573	chrX:+:28	+	chrX:2657229:+:CD99P1	Gencode	8821
chrX	2666364	2666365	0.5128442049026489	chrX:+:29	+	chrX:2657229:+:CD99P1	Gencode	9136
chrX	2724348	2724349	2.6301644444465637	chrX:+:30	+	chrX:2723434:+:CD99	Gencode	915
chrX	2726371	2726372	9.963120698928833	chrX:+:31	+	chrX:2726373:+:CD99	Gencode	-1
chrX	2741225	2741226	18.906192541122437	chrX:+:32	+	chrX:2741290:+:CD99	Gencode	-64
chrX	2741311	2741312	35.39809334278107	chrX:+:33	+	chrX:2741309:+:CD99	Gencode	3
chrX	2881599	2881600	1.046293020248413	chrX:+:34	+	chrX:2881618:+:GYG2	3'UTR(M)	-18
chrX	2882267	2882268	1.0199913382530212	chrX:+:35	+	chrX:2882288:+:GYG2	3'UTR(M)	-20
chrX	2882273	2882274	1.522841989994049	chrX:+:36	+	chrX:2882288:+:GYG2	3'UTR(M)	-14
chrX	2882280	2882281	1.5422484874725342	chrX:+:37	+	chrX:2882288:+:GYG2	3'UTR(M)	-7
chrX	2882285	2882286	1.5669695734977722	chrX:+:38	+	chrX:2882288:+:GYG2	3'UTR(M)	-2
chrX	2882293	2882294	3.178600788116455	chrX:+:39	+	chrX:2882288:+:GYG2	3'UTR(M)	6
chrX	2882817	2882818	43.826815128326416	chrX:+:40	+	chrX:2882818:+:GYG2	3'UTR(M)	0
chrX	2890103	2890104	2.7208762168884277	chrX:+:41	+	chrX:2894420:+:na	intergenic	-4316
